Date,Close,High,Low,Open,Volume
2009-08-06,1.13559091091156,1.1868258200275996,1.092076277844846,1.158050025085658,241978000
2009-08-07,1.1531373262405396,1.1762983261270774,1.1250634072670094,1.1334855662256929,24543000
2009-08-10,1.1208528280258179,1.1671748502013461,1.0955862552633626,1.1671748502013461,24210000
2009-08-11,1.0997967720031738,1.1229577703161384,1.0878652903165535,1.1215540911962043,23054000
2009-08-12,1.1229578256607056,1.1369947848855968,1.0990949447782643,1.133485545079374,14513000
2009-08-13,1.1615595817565918,1.1734910652456774,1.1229579399591358,1.1229579399591358,11506000
2009-08-14,1.1650687456130981,1.1931427487484998,1.1405040660781414,1.1580502657459677,6378000
2009-08-17,1.138398289680481,1.1489260074863807,1.1369946107064004,1.1419075289491143,2544000
2009-08-18,1.1980558633804321,1.207179905429631,1.1475227331592983,1.1566467752084972,14467000
2009-08-19,1.2556072473526,1.2591164872235228,1.1791056842994778,1.181913126396343,20708000
2009-08-20,1.246483325958252,1.2598184052741253,1.2134964010887694,1.2598184052741253,18821000
2009-08-21,1.250694751739502,1.261222559288031,1.2338504269956794,1.2485892738967082,8636000
2009-08-24,1.2282350063323975,1.2527996830323218,1.2141980482181551,1.2296386854104477,10216000
2009-08-25,1.2527997493743896,1.2563089890887822,1.2317443110880342,1.2387627905168193,5308000
2009-08-26,1.2527997493743896,1.2527997493743896,1.2036703933728936,1.241570232488458,7086000
2009-08-27,1.274557113647461,1.2780663534845877,1.231744354167764,1.2527997931905244,11611000
2009-08-28,1.29631507396698,1.3335130513348623,1.2633281362820972,1.2703466194206818,12950000
2009-08-31,1.2773650884628296,1.2914020536656774,1.2499929561171292,1.2878928123649656,10048000
2009-09-01,1.2527997493743896,1.2942088282043465,1.188931553105695,1.2808737507564045,13835000
2009-09-02,1.2408689260482788,1.280874344262778,1.2268319606865354,1.2464837289263588,12934000
2009-09-03,1.2247259616851807,1.2612221255230645,1.1931428009025464,1.2612221255230645,36577000
2009-09-04,1.246483325958252,1.26332764548008,1.2275333619125879,1.2457814444503066,11586000
2009-09-08,1.2422723770141602,1.2584149009399603,1.2247261735441375,1.2464834993137246,5749000
2009-09-09,1.2113909721374512,1.25280006127679,1.2085836131337548,1.25280006127679,5512000
2009-09-10,1.1966520547866821,1.225427857298282,1.1896335745318416,1.1938446124846154,4152000
2009-09-11,1.184720754623413,1.2163040043210667,1.1608579515336006,1.1931429991651326,6203000
2009-09-14,1.1685785055160522,1.1861247966581363,1.1447156968165917,1.1678767074171956,16145000
2009-09-15,1.2057759761810303,1.2177073746967202,1.16717425494365,1.2106888951384467,19869000
2009-09-16,1.233850121498108,1.2457815222097126,1.2008631945696415,1.2212168392347476,20211000
2009-09-17,1.1678762435913086,1.2563091276115075,1.1601558819016353,1.2394648085918905,14464000
2009-09-18,1.13699471950531,1.1945463159514929,1.1355910403969116,1.1629630758447327,8999000
2009-09-21,1.1657708883285522,1.1671745678831822,1.1138340754720517,1.1426098828430113,5530000
2009-09-22,1.2106891870498657,1.2191113478171007,1.1805097009392849,1.1903355412232433,11141000
2009-09-23,1.2212166786193848,1.248588800534478,1.2141981986924706,1.2366573177252196,5303000
2009-09-24,1.2275333404541016,1.2527999029620454,1.1755965361137475,1.2163038221914815,7788000
2009-09-25,1.2022674083709717,1.2268321005545813,1.2001618465932777,1.2268321005545813,4685000
2009-09-28,1.2387629747390747,1.2527999356841473,1.19524832887584,1.2156019724463274,2336000
2009-09-29,1.1952487230300903,1.2520985507385047,1.1896340037340185,1.231744900456044,3567000
2009-09-30,1.1980558633804321,1.2163039474788298,1.1903355008002885,1.1931429434052923,5126000
2009-10-01,1.1447155475616455,1.1994597244796732,1.137697065486691,1.1931431240789763,6605000
2009-10-02,1.1292747259140015,1.1482246928700186,1.1159396445501146,1.1369950890195566,6296000
2009-10-05,1.157348871231079,1.160156230689388,1.1229582576987962,1.1299767400114773,1889000
2009-10-06,1.1559449434280396,1.2071799574238826,1.1538394659672186,1.1748949099106023,4694000
2009-10-07,1.1320823431015015,1.1657710761755637,1.1173434962356892,1.1629636329470268,2917000
2009-10-08,1.1236600875854492,1.1355915747887892,1.1187471665606739,1.130678570097103,5573000
2009-10-09,1.1405045986175537,1.1545415649061397,1.118747267403478,1.1215547108613464,8705000
2009-10-12,1.1468209028244019,1.154541265749445,1.125765458847263,1.1383987419669257,12888000
2009-10-13,1.1601561307907104,1.169982055382519,1.133485883565661,1.1362932427822339,5573000
2009-10-14,1.1833168268203735,1.193142748835198,1.1608577079773,1.1819131475802214,6955000
2009-10-15,1.204372525215149,1.2598185782837135,1.2001614865898376,1.221216930717088,20920000
