Date,Close,High,Low,Open,Volume
1986-07-09,7.328202724456787,7.369840239936655,7.036740116097711,7.120015147057447,1116800
1986-07-10,7.2865705490112305,7.411483186994279,7.12002036503383,7.369845640999929,595600
1986-07-11,7.036745548248291,7.286570833984916,7.03674554824829,7.244933286362145,800400
1986-07-14,6.828559398651123,7.0783847425042135,6.745284284033427,7.0783847425042135,738000
1986-07-15,6.620367527008057,6.786917653473668,6.203992210844028,6.786917653473668,2059200
1986-07-16,6.745278835296631,6.9951039773446535,6.620366264272619,6.620366264272619,1160400
1986-07-17,6.786918640136719,6.82855617780627,6.662006027128068,6.745281102467168,1046000
1986-07-18,6.828559398651123,6.891015734614396,6.662009169415731,6.786921841342275,1420000
1986-07-21,6.828559398651123,6.870196955959972,6.786921841342275,6.828559398651123,322800
1986-07-22,6.786918640136719,6.849374946641045,6.786918640136719,6.82855617780627,390800
1986-07-23,6.70364236831665,6.828554959030625,6.6620048380786585,6.828554959030625,1004000
1986-07-24,6.620367527008057,6.745280121857265,6.5370924637752506,6.703642590240863,1071600
1986-07-25,6.70364236831665,6.745279898554642,6.578729777602676,6.6203673078406675,688400
1986-07-28,6.745278835296631,6.828553882645972,6.641185026109954,6.7036413116219595,414800
1986-07-29,6.786918640136719,6.786918640136719,6.662006027128068,6.662006027128068,278400
1986-07-30,6.745278835296631,6.745278835296631,6.578728740597948,6.7036413116219595,459200
1986-07-31,6.70364236831665,6.828554959030625,6.6620048380786585,6.745279898554642,1213600
1986-08-01,6.495454788208008,6.745279972369854,6.495454788208008,6.662004910982572,1118000
1986-08-04,6.495454788208008,6.5370923189016485,6.349723430780264,6.5370923189016485,892400
1986-08-05,6.370543003082275,6.49545561098585,6.328905467114418,6.49545561098585,868800
1986-08-06,6.079079627990723,6.412179881579255,6.079079627990723,6.370542349880688,550400
1986-08-07,5.579430103302002,6.037443022229779,5.412879950964629,5.995805484145435,7560000
1986-08-08,5.912527084350586,5.954164599029111,5.579426966922384,5.621064481600909,2802000
1986-08-11,6.079079627990723,6.079079627990723,5.912529501196456,5.995804564593589,1428000
1986-08-12,6.245628833770752,6.287266359329224,6.079078731536866,6.079078731536866,1155200
1986-08-13,6.453818321228027,6.7244623153440415,6.245630633446479,6.287268171002788,865600
1986-08-14,6.328907012939453,6.53709474362825,6.245631920663934,6.495457197490491,762000
1986-08-15,6.245628833770752,6.328903884887695,6.120716257095337,6.328903884887695,654400
1986-08-18,6.453818321228027,6.578730933896957,6.162355558333858,6.287268171002788,606800
1986-08-19,6.370543003082275,6.49545561098585,6.328905467114418,6.49545561098585,2744000
1986-08-20,6.328907012939453,6.370544559077213,6.245631920663934,6.370544559077213,500000
1986-08-21,6.287265777587891,6.3705408209996515,6.2872657775878915,6.3289032992937715,353200
1986-08-22,6.245628833770752,6.370541410446167,6.245628833770752,6.328903884887695,286000
1986-08-25,6.162353992462158,6.3289041003665405,6.079078938509967,6.3289041003665405,766400
1986-08-26,6.245628833770752,6.245628833770752,6.120716257095337,6.120716257095337,408800
1986-08-27,6.203990936279297,6.245628459341574,6.1207158901547425,6.245628459341574,686400
1986-08-28,6.120718479156494,6.203993560505562,6.07908093848196,6.203993560505562,286000
1986-08-29,6.079079627990723,6.162354691387856,6.037442096292156,6.079079627990723,1128800
1986-09-02,5.829253673553467,6.1207163572311405,5.787616147313799,6.1207163572311405,916800
1986-09-03,5.954168796539307,5.954168796539307,5.787618620412333,5.829256164444077,684400
1986-09-04,6.203990936279297,6.203990936279297,5.912528274843356,5.9958033209679105,576800
1986-09-05,5.9958038330078125,6.287266519334581,5.9958038330078125,6.203991466098361,961600
1986-09-08,5.829253673553467,6.079078830991473,5.745978621074132,6.079078830991473,1793200
1986-09-09,5.745978355407715,5.8292534040368125,5.662703306778618,5.787615879722264,388000
1986-09-10,5.662703990936279,5.745979049626519,5.662703990936279,5.745979049626519,802400
1986-09-11,5.287967681884766,5.704343089907189,5.163055059478039,5.704343089907189,6240000
1986-09-12,5.079780101776123,5.287967810865308,5.0381425599582865,5.246330269047472,2066800
1986-09-15,5.079780101776123,5.163055185411798,4.954867476322612,5.079780101776123,1746800
1986-09-16,4.954867362976074,5.07977998557211,4.871592281245384,5.038142444706765,1547200
1986-09-17,4.913228988647461,4.996504056251656,4.705041319636976,4.996504056251656,997600
1986-09-18,5.829253673553467,5.829253673553467,4.913228096280779,4.913228096280779,833200
1986-09-19,5.704341411590576,5.829253997245845,5.45451624028004,5.829253997245845,928000
1986-09-22,5.662703990936279,5.7876165789716385,5.57942893224604,5.7043415202814,464000
1986-09-23,5.496152877807617,5.7043404868154814,5.371240312402899,5.7043404868154814,436400
1986-09-24,5.662703990936279,5.7043415202814,5.412878814865562,5.496153873555801,649600
1986-09-25,5.537792205810547,5.662704811956649,5.537792205810547,5.662704811956649,305600
1986-09-26,5.537792205810547,5.621067276574615,5.4961546704285125,5.537792205810547,278400
1986-09-29,5.496152877807617,5.579427921410764,5.371240312402899,5.579427921410764,724800
1986-09-30,5.704341411590576,5.829253997245845,5.45451624028004,5.45451624028004,773200
1986-10-01,5.704341411590576,5.829253997245845,5.704341411590576,5.787616468694088,668400
1986-10-02,5.704341411590576,5.745978940142332,5.704341411590576,5.704341411590576,592000
1986-10-03,5.579430103302002,5.745980255639375,5.496155027133315,5.745980255639375,228000
1986-10-06,5.621067047119141,5.662704580801504,5.537791979754412,5.662704580801504,467600
1986-10-07,5.621067047119141,5.662704580801504,5.579429513436777,5.579429513436777,176000
1986-10-08,5.745978355407715,5.745978355407715,5.621065782464069,5.662703306778618,558800
1986-10-09,5.621067047119141,5.745979648166232,5.579429513436777,5.745979648166232,243200
1986-10-10,5.537792205810547,5.621067276574615,5.4961546704285125,5.621067276574615,238400
1986-10-13,5.371241092681885,5.579428731933121,5.371241092681885,5.579428731933121,362800
1986-10-14,5.662703990936279,5.745979049626519,5.3712412855204414,5.3712412855204414,612000
1986-10-15,5.829253673553467,5.870891199793134,5.662703568594797,5.704341094834464,606800
1986-10-16,5.7876176834106445,5.870892757992092,5.7876176834106445,5.829255220701368,269200
1986-10-17,5.662703990936279,5.829254108316759,5.62106646159116,5.829254108316759,216000
1986-10-20,5.537792205810547,5.662704811956649,5.37124206428241,5.621067276574615,595200
1986-10-21,5.45451545715332,5.537790502300699,5.45451545715332,5.537790502300699,327200
1986-10-22,5.496152877807617,5.53779039960919,5.454515356006045,5.53779039960919,396000
1986-10-23,5.516972064971924,5.537790827481252,5.496153302462596,5.537790827481252,1358400
1986-10-24,5.537792205810547,5.57942974119258,5.4961546704285125,5.537792205810547,809600
1986-10-27,5.537792205810547,5.57942974119258,5.4961546704285125,5.57942974119258,305200
1986-10-28,5.662703990936279,5.662703990936279,5.496153873555801,5.496153873555801,329200
1986-10-29,5.912527084350586,5.9958021137076365,5.662701996279434,5.662701996279434,835600
1986-10-30,6.037441730499268,6.120716788850982,5.870891613795839,5.912529142971696,973200
1986-10-31,5.9958038330078125,6.037441359625922,5.912528779771593,6.037441359625922,632400
1986-11-03,5.9958038330078125,6.037441359625922,5.912528779771593,5.912528779771593,408800
1986-11-04,5.954168796539307,6.037443884602793,5.954168796539307,5.954168796539307,283200
1986-11-05,5.912527084350586,5.9958021137076365,5.912527084350586,5.9958021137076365,231200
1986-11-06,5.870894908905029,5.954170013995881,5.704344698723326,5.912532461450455,434000
1986-11-07,5.850073337554932,5.954167169184023,5.8292545712291135,5.870892103880751,517200
1986-11-10,5.829253673553467,5.870891199793134,5.745978621074132,5.870891199793134,503200
1986-11-11,5.954168796539307,5.954168796539307,5.787618620412333,5.87089370847582,142000
1986-11-12,5.9749860763549805,6.016623609988116,5.912529775905276,5.954167309538412,669600
1986-11-13,5.579430103302002,5.995805484145435,5.579430103302002,5.954167946061092,578800
1986-11-14,5.579430103302002,5.621067641386345,5.454517489048972,5.537792565217659,806000
1986-11-17,5.579430103302002,5.621067641386345,5.496155027133315,5.579430103302002,734400
1986-11-18,5.496152877807617,5.621065443212336,5.454515356006045,5.621065443212336,605600
1986-11-19,5.537792205810547,5.57942974119258,5.454517135046478,5.537792205810547,495600
1986-11-20,5.662703990936279,5.662703990936279,5.53779140290092,5.53779140290092,828400
1986-11-21,5.954168796539307,5.99580634057105,5.662705988317103,5.7043435323488465,666800
1986-11-24,6.079079627990723,6.162354691387856,5.870891969497889,5.870891969497889,715600
1986-11-25,5.9958038330078125,6.079078886244032,5.954166306389703,5.9958038330078125,424000
1986-11-26,6.037441730499268,6.037441730499268,5.9541666721475535,5.9541666721475535,171600
1986-11-28,5.9958038330078125,6.037441359625922,5.912528779771593,6.037441359625922,236000
1986-12-01,5.912527084350586,6.037439628386161,5.870889569672061,5.9958021137076365,596000
1986-12-02,5.954168796539307,5.9749875685551785,5.891712480491692,5.954168796539307,845600
1986-12-03,6.037441730499268,6.037441730499268,5.912529142971696,5.912529142971696,1016800
1986-12-04,5.954168796539307,6.120718972666281,5.87089370847582,5.99580634057105,643200
1986-12-05,5.704341411590576,5.954166582901112,5.66270388303882,5.912529054349356,636400
1986-12-08,5.662703990936279,5.745979049626519,5.53779140290092,5.662703990936279,712000
1986-12-09,5.621067047119141,5.704342114483868,5.621067047119141,5.621067047119141,302400
1986-12-10,5.579430103302002,5.662705179470689,5.537792565217659,5.662705179470689,341200
1986-12-11,5.371241092681885,5.621066259783368,5.287966036981391,5.621066259783368,1172000
1986-12-12,5.371241092681885,5.454516148382379,5.371241092681885,5.454516148382379,332000
1986-12-15,5.745978355407715,5.745978355407715,5.3296031122622285,5.371240636576777,768400
1986-12-16,5.7876176834106445,5.7876176834106445,5.7043426088291955,5.7043426088291955,770000
1986-12-17,5.662703990936279,5.829254108316759,5.662703990936279,5.7876165789716385,345200
1986-12-18,5.621067047119141,5.745979648166232,5.537791979754412,5.662704580801504,349200
1986-12-19,5.579430103302002,5.662705179470689,5.579430103302002,5.621067641386345,883600
1986-12-22,5.662703990936279,5.745979049626519,5.57942893224604,5.62106646159116,371600
1986-12-23,5.579430103302002,5.745980255639375,5.537792565217659,5.704342717555032,282800
1986-12-24,5.537792205810547,5.57942974119258,5.537792205810547,5.57942974119258,189200
1986-12-26,5.579430103302002,5.579430103302002,5.496155027133315,5.537792565217659,180000
1986-12-29,5.579430103302002,5.579430103302002,5.412879950964629,5.537792565217659,462000
1986-12-30,5.45451545715332,5.579428024874389,5.4128779345796305,5.537790502300699,485200
1986-12-31,5.45451545715332,5.579428024874389,5.45451545715332,5.516971741013855,378400
1987-01-02,5.558609485626221,5.579428247744671,5.412878150797069,5.454515675033969,363600
1987-01-05,6.079079627990723,6.120717159689289,5.579429247607924,5.579429247607924,1222000
1987-01-06,5.912527084350586,6.079077143064686,5.870889569672061,6.079077143064686,1120000
1987-01-07,6.245628833770752,6.245628833770752,5.995803680419922,5.995803680419922,976800
1987-01-08,6.453818321228027,6.495455858784338,6.203993095890168,6.245630633446479,1178800
1987-01-09,6.495454788208008,6.578729849595289,6.4121797268207255,6.453817257514366,659600
1987-01-12,6.287265777587891,6.495453386117291,6.2872657775878915,6.453815864411411,1713600
1987-01-13,6.287265777587891,6.2872657775878915,6.120715690764371,6.2872657775878915,1000000
1987-01-14,6.245628833770752,6.328903884887695,6.162353782653809,6.287266359329224,1237600
1987-01-15,6.037441730499268,6.245629376378552,5.9541666721475535,6.203991847202696,2141600
1987-01-16,5.912527084350586,6.037439628386161,5.870889569672061,6.037439628386161,722400
1987-01-19,6.079079627990723,6.120717159689289,5.912529501196456,5.912529501196456,1030000
1987-01-20,6.203990936279297,6.245628459341574,6.079078367092465,6.1207158901547425,895200
1987-01-21,6.079079627990723,6.162354691387856,5.995804564593589,6.120717159689289,923200
1987-01-22,6.245628833770752,6.245628833770752,6.079078731536866,6.120716257095337,372800
1987-01-23,6.287265777587891,6.578728429529051,6.162353212470251,6.245628255882011,1741600
1987-01-26,6.162353992462158,6.3289041003665405,6.120716465486063,6.3289041003665405,456800
1987-01-27,6.453818321228027,6.453818321228027,6.162355558333858,6.162355558333858,666400
1987-01-28,6.620367527008057,6.620367527008057,6.370542337309639,6.453817400542445,937200
1987-01-29,6.453818321228027,6.703643546565886,6.412180783671718,6.662006009009577,712000
1987-01-30,6.474637985229492,6.4954567568861785,6.287269040319313,6.4954567568861785,445200
1987-02-02,6.453818321228027,6.537093396340647,6.412180783671718,6.495455858784338,483600
1987-02-03,6.287265777587891,6.453815864411411,6.2872657775878915,6.453815864411411,739200
1987-02-04,6.495454788208008,6.5370923189016485,6.287267134739802,6.328904665433443,1103600
1987-02-05,6.786918640136719,6.786918640136719,6.453818338780316,6.495455876449866,904000
1987-02-06,6.5370917320251465,6.828554420714166,6.5370917320251465,6.745279366803017,1008800
1987-02-09,6.370543003082275,6.578730682921566,6.328905467114418,6.578730682921566,663200
1987-02-10,6.370543003082275,6.453818075017992,6.328905467114418,6.453818075017992,423600
1987-02-11,6.5370917320251465,6.620366785936295,6.4121791511584245,6.4121791511584245,394000
1987-02-12,6.745278835296631,7.078379024693995,6.537091216923278,6.578728740597948,1348800
1987-02-13,6.828559398651123,6.870196955959972,6.5787340547980335,6.745284284033427,1257600
1987-02-17,7.036745548248291,7.078383095871062,6.828557810134436,6.870195357757207,1275200
1987-02-18,7.078381061553955,7.286568739834954,6.995105990241556,7.078381061553955,1346000
1987-02-19,7.24492883682251,7.244928836822509,7.078378748619693,7.078378748619693,432800
1987-02-20,7.2032904624938965,7.286565496742381,7.161652945369655,7.161652945369655,350000
1987-02-23,7.140834808349609,7.244928610220596,7.120016047975413,7.203291089472201,479200
1987-02-24,7.161656379699707,7.161656379699708,7.078381305517153,7.12001884260843,934800
1987-02-25,7.307386875152588,7.328205641178664,7.120017980917906,7.161655512970057,831600
1987-02-26,7.453115940093994,7.5363909785307985,7.3282033824387875,7.3282033824387875,720000
1987-02-27,7.369843006134033,7.4531180683502365,7.286567943917829,7.390661771688084,314000
1987-03-02,7.24492883682251,7.369841402974622,7.1616537927211015,7.369841402974622,560400
1987-03-03,7.2032904624938965,7.244927979618139,7.120015428245412,7.2032904624938965,411200
1987-03-04,7.390660285949707,7.411479047318579,7.120016388154365,7.120016388154365,508000
1987-03-05,7.453115940093994,7.5363909785307985,7.36984090165719,7.411478420875592,684400
1987-03-06,7.453115940093994,7.619666016967603,7.411478420875592,7.453115940093994,741200
1987-03-09,7.4114813804626465,7.494756452153238,7.349025076694703,7.453118916307942,481600
1987-03-10,7.494754791259766,7.536392317877875,7.411479738023545,7.411479738023545,206000
1987-03-11,7.619662761688232,7.661300263118223,7.494750257398262,7.494750257398262,837600
1987-03-12,7.578028678894043,7.619666199107746,7.494753638466635,7.619666199107746,597600
1987-03-13,8.077682495117188,8.410782804194186,7.578032031501692,7.578032031501692,3545200
1987-03-16,8.119318008422852,8.160955536671173,8.077680480174529,8.119318008422852,504000
1987-03-17,8.244231224060059,8.410781349798645,8.119318629756119,8.160956161190764,1909600
1987-03-18,8.244231224060059,8.369143818364,8.244231224060059,8.244231224060059,1048000
1987-03-19,8.244231224060059,8.285868755494706,8.160956161190764,8.244231224060059,594800
1987-03-20,8.327505111694336,8.41078016281128,8.16095500946045,8.285867586135865,1144000
1987-03-23,8.285868644714355,8.369143706470279,8.285868644714355,8.327506175592317,636800
1987-03-24,8.285868644714355,8.327506175592317,8.244231113836394,8.285868644714355,490400
